GeneID,Acc_num,Main_Role,Subrole,Product ,Gene
hotlake_ucc_69346,CY41DRAFT_0005,Mobile and extrachromosomal element functions,Selfish genetic elements,IS110 family transposase,
hotlake_ucc_69347,CY41DRAFT_0006,Fatty acid and lipid metabolism,Fatty acid degradation,acyl-CoA thioesterase I TesA,tesA
hotlake_ucc_69349,CY41DRAFT_0007,Transport and binding proteins,Unknown substrate,ABC-type lysophospholipase export system ATPase component,
hotlake_ucc_69350,CY41DRAFT_0008,Transport and binding proteins,Unknown substrate,ABC-type lysophospholipase export system permease component,
hotlake_ucc_69351,CY41DRAFT_0009,,,protein of unknown function DUF2283,
hotlake_ucc_69352,CY41DRAFT_0010,Amino acid metabolism,Glycine_ serine and threonine metabolism,glycine hydroxymethyltransferase,glyA
hotlake_ucc_69353,CY41DRAFT_0011,Regulatory functions,General,transcriptional antiterminator RfaH,rfaH
hotlake_ucc_69354,CY41DRAFT_0012,Transport and binding proteins,Unknown substrate::Carbohydrates_ organic alcohols_ and acids,Trk-type sulfate permase SulP,sulP
hotlake_ucc_69355,CY41DRAFT_0013,Energy metabolism,Sulfur metabolism,3'(2')_ 5'-bisphosphate nucleotidase CysQ,cysQ
hotlake_ucc_69356,CY41DRAFT_0014,,,hypothetical protein,
hotlake_ucc_69357,CY41DRAFT_0015,Transport and binding proteins,Unknown substrate,ABC1-type export system bifunctional ATPase and permease MdlB,mdlB
hotlake_ucc_69358,CY41DRAFT_0016,Carbohydrate metabolism::Glycan biosynthesis and metabolism::Unknown function,Polysacharide and lipopolysaccharide metabolism::Enzymes of unknown specificity::Amino sugar and nucleotide sugar metabolism,UDP-N-acetylglucosamine 4_6-dehydratase PseB,pseB
hotlake_ucc_69359,CY41DRAFT_0017,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,UDP-4-amino-4_6-dideoxy-N-acetyl-beta-L-altrosamine transaminase PseC,pseC
hotlake_ucc_69360,CY41DRAFT_0018,Carbohydrate metabolism::Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism::Amino sugar and nucleotide sugar metabolism,pseudaminic acid cytidylyltransferase PseF,pseF
hotlake_ucc_69361,CY41DRAFT_0019,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,pseudaminic acid biosynthesis UDP hydrolase PseG,pseG
hotlake_ucc_69362,CY41DRAFT_0020,,,putative pseudaminic acid biosynthesis formyl transferase,
hotlake_ucc_69363,CY41DRAFT_0021,,,putative pseudaminic acid biosynthesis formyl transferase,fmt
hotlake_ucc_69364,CY41DRAFT_0022,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,pseudaminic acid synthase PseI,pseI
hotlake_ucc_69365,CY41DRAFT_0023,,,LmbE family N-acetylglucosaminyl deacetylase,
hotlake_ucc_69366,CY41DRAFT_0024,,,capsular polysaccharide biosynthesis protein,
hotlake_ucc_69367,CY41DRAFT_0025,,,TupA-like ATPgrasp domain protein,
hotlake_ucc_69368,CY41DRAFT_0026,Mobile and extrachromosomal element functions,Selfish genetic elements,IS481 family transposase,
hotlake_ucc_69370,CY41DRAFT_0028,Mobile and extrachromosomal element functions,Selfish genetic elements,IS3 family transposase,
hotlake_ucc_69371,CY41DRAFT_0029,Mobile and extrachromosomal element functions,Selfish genetic elements,IS5 family transposase,
hotlake_ucc_69372,CY41DRAFT_0030,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,family 4 glycosyltransferase,
hotlake_ucc_69373,CY41DRAFT_0031,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,family 4 glycosyltransferase,
hotlake_ucc_69374,CY41DRAFT_0032,,,hypothetical protein,
hotlake_ucc_69375,CY41DRAFT_0033,,,hypothetical protein,
hotlake_ucc_69376,CY41DRAFT_0034,Carbohydrate metabolism::Unknown function,General::Amino sugar and nucleotide sugar metabolism,UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase WecC,wecC
hotlake_ucc_69377,CY41DRAFT_0035,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,UDP-N-acetylglucosamine 2-epimerase WecB,wecB
hotlake_ucc_69378,CY41DRAFT_0036,,,hypothetical protein,
hotlake_ucc_69379,CY41DRAFT_0037,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,glycosyltransferase,
hotlake_ucc_69380,CY41DRAFT_0038,Glycan biosynthesis and metabolism::Unknown function,Polysacharide and lipopolysaccharide metabolism::Enzymes of unknown specificity,UDP-glucuronate 4-epimerase,
hotlake_ucc_69381,CY41DRAFT_0039,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,UDPglucose 6-dehydrogenase,ugd
hotlake_ucc_69382,CY41DRAFT_0040,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,lipid A core-O-antigen ligase-like enyme,
hotlake_ucc_69383,CY41DRAFT_0041,,,hypothetical protein,
hotlake_ucc_69384,CY41DRAFT_0042,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase,
hotlake_ucc_69385,CY41DRAFT_0043,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,putative autotransporter protein,
hotlake_ucc_69387,CY41DRAFT_0044,Mobile and extrachromosomal element functions,Selfish genetic elements,IS110 family transposase,
hotlake_ucc_69388,CY41DRAFT_0045,,,protein of unknown function DUF1266,
hotlake_ucc_69389,CY41DRAFT_0046,,,cell wall-associated hydrolase,spr
hotlake_ucc_69390,CY41DRAFT_0047,Transport and binding proteins,Unknown substrate,xylose efflux permease YnfM,ynfM
hotlake_ucc_69391,CY41DRAFT_0048,Transport and binding proteins,Unknown substrate,ABC-type nickel uptake system ATPase component NikE,nikE
hotlake_ucc_69392,CY41DRAFT_0049,Transport and binding proteins,Unknown substrate,ABC-type nickel uptake system ATPase component NikD,nikD
hotlake_ucc_69393,CY41DRAFT_0050,,,ABC-type nickel uptake system permease component NikC,nikC
hotlake_ucc_69394,CY41DRAFT_0051,,,ABC-type nickel uptake system permease component NikB,nikB
hotlake_ucc_69395,CY41DRAFT_0052,Transport and binding proteins,Unknown substrate,ABC-type nickel uptake system substrate-binding component NikA,nikA
hotlake_ucc_69397,CY41DRAFT_0053,Regulatory functions,DNA interactions,nickel-responsive transcriptional regulator NikR,nikR
hotlake_ucc_69398,CY41DRAFT_0054,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,slyD
hotlake_ucc_69399,CY41DRAFT_0055,,,hypothetical protein,
hotlake_ucc_69400,CY41DRAFT_0056,,,outer membrane lipoprotein SlyB,slyB
hotlake_ucc_69402,CY41DRAFT_0057,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,isocitrate lyase AceA,aceA
hotlake_ucc_69403,CY41DRAFT_0058,Unknown function,Enzymes of unknown specificity,predicted acyltransferase,
hotlake_ucc_69404,CY41DRAFT_0059,,,50S ribosomal protein L16 3-hydroxylase YcfD,ycfD
hotlake_ucc_69405,CY41DRAFT_0060,Nucleic acid metabolism,Purine metabolism,adenylosuccinate lyase PurB,purB
hotlake_ucc_69406,CY41DRAFT_0061,,,high frequency lysogenization protein,hflD
hotlake_ucc_69407,CY41DRAFT_0062,Translation,tRNA and rRNA base modification,tRNA-specific 2-thiouridylase TrmU,trmU
hotlake_ucc_69408,CY41DRAFT_0063,Unknown function,Enzymes of unknown specificity,,
hotlake_ucc_69409,CY41DRAFT_0064,Translation,tRNA and rRNA base modification,23S rRNA pseudouridine2457 synthase,rluE
hotlake_ucc_69410,CY41DRAFT_0065,Carbohydrate metabolism,Citrate cycle (TCA cycle),NADP-dependent isocitrate dehydrogenase Icd,icd
hotlake_ucc_69411,CY41DRAFT_0066,Intracellular trafficking_ assembly_ and processing,Peptidases,ATP-dependent Clp protease adaptor protein ClpS,clpS
hotlake_ucc_69412,CY41DRAFT_0067,Regulatory functions::Intracellular trafficking_ assembly_ and processing::Unknown function,Enzymes of unknown specificity::General::Chaperone and folding catalysis::Protein interactions,ATP-dependent Clp protease ATP-binding subunit ClpA,clpA
hotlake_ucc_69413,CY41DRAFT_0068,Translation,Translation factors,translation initiation factor IF-1 InfA,infA
hotlake_ucc_69414,CY41DRAFT_0069,,,arginyl-tRNA-protein transferase Ate1,ate1
hotlake_ucc_69415,CY41DRAFT_0070,Translation,tRNA and rRNA base modification,leucyl / phenylalanyl-tRNA--protein transferase Aat,aat
hotlake_ucc_69416,CY41DRAFT_0071,Cell structure_ growth_ and death,Cell division,DNA segregation ATPase FtsK,ftsK
hotlake_ucc_69417,CY41DRAFT_0072,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,outer membrane lipoprotein carrier protein LolA,lolA
hotlake_ucc_69419,CY41DRAFT_0073,Unknown function,Enzymes of unknown specificity::General,putative ATPase,ycaJ
hotlake_ucc_69420,CY41DRAFT_0074,,,hypothetical protein,
hotlake_ucc_69421,CY41DRAFT_0075,Metabolism of other amino acids and amines,D-Glutamine and D-glutamate metabolism,glutamate racemase,murI
hotlake_ucc_69422,CY41DRAFT_0076,Translation::Unknown function,Enzymes of unknown specificity::tRNA and rRNA base modification,tRNA (uracil-5-)-methyltransferase TrmA,trmA
hotlake_ucc_69423,CY41DRAFT_0077,,,glutamate dehydrogenase Gdh2,gdh2
hotlake_ucc_69424,CY41DRAFT_0078,Nucleic acid metabolism,Pyrimidine metabolism,dihydroorotate dehydrogenase PyrD,pyrD
hotlake_ucc_69425,CY41DRAFT_0079,,,ribosome modulation factor Rmf,rmf
hotlake_ucc_69426,CY41DRAFT_0080,,,23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase RimL,rlmL
hotlake_ucc_69427,CY41DRAFT_0081,,,Glutaredoxin-like domain (DUF836),
hotlake_ucc_69428,CY41DRAFT_0082,,,hypothetical protein,
hotlake_ucc_69429,CY41DRAFT_0083,,,erythronate-4-phosphate dehydrogenase PdxB,pdxB
hotlake_ucc_69430,CY41DRAFT_0084,Cell structure_ growth_ and death,Toxin-antitoxin systems,toxin-antitoxin system HigB family toxin component,higA
hotlake_ucc_69431,CY41DRAFT_0085,Cell structure_ growth_ and death,Toxin-antitoxin systems,toxin-antitoxin system HigA family antidote component,higA
hotlake_ucc_69432,CY41DRAFT_0086,Intracellular trafficking_ assembly_ and processing,Peptidases,heat shock protein HtpX,htpX
hotlake_ucc_69433,CY41DRAFT_0087,,,alanine-synthesizing transaminase AlaA,alaA
hotlake_ucc_69434,CY41DRAFT_0088,Translation::Transport and binding proteins::Unknown function,Ribosomal proteins: synthesis and modification::Enzymes of unknown specificity::General::Cations and iron carrying compounds,ribosome biogenesis GTP-binding protein YlqF,ylqF
hotlake_ucc_69435,CY41DRAFT_0089,Unknown function,General,predicted transporter component,
hotlake_ucc_69436,CY41DRAFT_0090,Unknown function,General,predicted transporter component,
hotlake_ucc_69437,CY41DRAFT_0091,,,thiol:disulfide interchange protein DsbG,dsbG
hotlake_ucc_69439,CY41DRAFT_0092,Carbohydrate metabolism,Starch and sucrose metabolism,sucrose phosphorylase FtfA,ftfA
hotlake_ucc_69440,CY41DRAFT_0093,Regulatory functions,DNA interactions,transcriptional repressor of ribonucleotide reductase NrdR,nrdR
hotlake_ucc_69441,CY41DRAFT_0094,Prosthetic groups_ cofactors_ and carriers::Unknown function,Enzymes of unknown specificity::Riboflavin metabolism,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,ribD
hotlake_ucc_69442,CY41DRAFT_0095,Prosthetic groups_ cofactors_ and carriers,Riboflavin metabolism,bifunctional 3_4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II RibB-RibA,ribB-ribA
hotlake_ucc_69443,CY41DRAFT_0096,Prosthetic groups_ cofactors_ and carriers,Riboflavin metabolism,6_7-dimethyl-8-ribityllumazine synthase RibH,ribH
hotlake_ucc_69444,CY41DRAFT_0097,Transcription,Transcription factors,transcription antitermination factor NusB,nusB
hotlake_ucc_69445,CY41DRAFT_0098,Prosthetic groups_ cofactors_ and carriers,Thiamine metabolism,thiamine-monophosphate kinase ThiL,thiL
hotlake_ucc_69446,CY41DRAFT_0099,Fatty acid and lipid metabolism,Fatty acid degradation,phosphatidylglycerophosphatase A,pgpA
hotlake_ucc_69447,CY41DRAFT_0100,,,Bacterial protein of unknown function (DUF945),
hotlake_ucc_69448,CY41DRAFT_0101,Intracellular trafficking_ assembly_ and processing::Unknown function,Enzymes of unknown specificity::Peptidases::General,endopeptidase La,lon
hotlake_ucc_69449,CY41DRAFT_0102,Regulatory functions::Signal transduction,General::Taxis::Small molecule interactions,chemotaxis sensory transduction system methyl-accepting chemotaxis protein with PAS sensory domain,aer
hotlake_ucc_69450,CY41DRAFT_0103,Defense and invasion systems,Protein_ prosthetic group_ membrane repair,methionine-R-sulfoxide reductase MsrB,msrB
hotlake_ucc_69451,CY41DRAFT_0104,Intracellular trafficking_ assembly_ and processing,Peptidases,gamma-glutamyltranspeptidase Ggt1,ggt1
hotlake_ucc_69452,CY41DRAFT_0105,Transport and binding proteins,Unknown substrate::Carbohydrates_ organic alcohols_ and acids,TRAP transporter_ DctM subunit,
hotlake_ucc_69453,CY41DRAFT_0106,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,TRAP-type mannitol/chloroaromatic compound transport system_ small permease component,
hotlake_ucc_69454,CY41DRAFT_0107,,,TRAP-type mannitol/chloroaromatic compound transport system_ periplasmic component,
hotlake_ucc_69457,CY41DRAFT_0109,Transport and binding proteins,Unknown substrate,ABC2-type DrugE1 family export system ATPase component YadG,yadG
hotlake_ucc_69458,CY41DRAFT_0110,Transport and binding proteins,Unknown substrate,ABC2-type DrugE1 family export system permease component YadH,yadH
hotlake_ucc_69459,CY41DRAFT_0111,Translation,tRNA and rRNA base modification,7-cyano-7-deazaguanine reductase QueF,queF
hotlake_ucc_69460,CY41DRAFT_0112,Energy metabolism,Nitrogen metabolism,nitroreductase,
hotlake_ucc_69461,CY41DRAFT_0113,,,thioesterdase domain protein,
hotlake_ucc_69463,CY41DRAFT_0115,,,hypothetical protein,
hotlake_ucc_69464,CY41DRAFT_0116,,,toxin-antitoxin system antidote component,
hotlake_ucc_69465,CY41DRAFT_0117,,,toxin-antitoxin system toxin component,
hotlake_ucc_69466,CY41DRAFT_0118,Cell structure_ growth_ and death,Toxin-antitoxin systems,MerR family transcriptional regulator,
hotlake_ucc_69467,CY41DRAFT_0119,Cell structure_ growth_ and death,Toxin-antitoxin systems,XRE family transcriptional regulator,
hotlake_ucc_69468,CY41DRAFT_0120,Defense and invasion systems,Invasion response,type I restriction modificaiton system HsdM family methylase component,
hotlake_ucc_69469,CY41DRAFT_0121,,,type I site-specific restriction-modification system specificity subunit HsdS,hsdS
hotlake_ucc_69470,CY41DRAFT_0122,,,,
hotlake_ucc_69471,CY41DRAFT_0123,,,hypothetical protein,
hotlake_ucc_69472,CY41DRAFT_0124,,,AAA-like domain protein,
hotlake_ucc_69473,CY41DRAFT_0126,,,YqaJ viral recombinase family protein,
hotlake_ucc_69474,CY41DRAFT_0127,Mobile and extrachromosomal element functions,Bacteriophage and virus functions,ERF superfamily,
hotlake_ucc_69475,CY41DRAFT_0128,,,hypothetical protein,
hotlake_ucc_69476,CY41DRAFT_0129,Mobile and extrachromosomal element functions,General,phage/plasmid-like protein TIGR03299,
hotlake_ucc_69477,CY41DRAFT_0130,,,hypothetical protein,
hotlake_ucc_69478,CY41DRAFT_0131,,,DNA polymerase V,umuD
hotlake_ucc_69479,CY41DRAFT_0133,Nucleic acid metabolism::Mobile and extrachromosomal element functions,Bacteriophage and virus functions::DNA replication_ recombination_ and repair,IS91 family transposase orf1,xerD
hotlake_ucc_69480,CY41DRAFT_0134,Mobile and extrachromosomal element functions,Bacteriophage and virus functions,IS91 family transposase orf2,
hotlake_ucc_69481,CY41DRAFT_0135,,,hypothetical protein,
hotlake_ucc_69482,CY41DRAFT_0136,Regulatory functions,DNA interactions,AlpA family transcriptional regulator,alpA
hotlake_ucc_69483,CY41DRAFT_0137,,,protein of unknown function DUF3987,
hotlake_ucc_69484,CY41DRAFT_0138,,,protein of unknown function DUF3296,
hotlake_ucc_69485,CY41DRAFT_0139,,,hypothetical protein,
hotlake_ucc_69486,CY41DRAFT_0140,,,transcriptional regulator-like protein,
hotlake_ucc_69487,CY41DRAFT_0141,,,putative metallopeptidase domain,
hotlake_ucc_69488,CY41DRAFT_0142,,,hypothetical protein,
hotlake_ucc_69489,CY41DRAFT_0144,,,protein of unknown function DUF726,
hotlake_ucc_69490,CY41DRAFT_0146,Mobile and extrachromosomal element functions,Bacteriophage and virus functions,Integrase,
hotlake_ucc_69491,CY41DRAFT_0147,Unknown function,General,YihY family inner membrane protein,
hotlake_ucc_69492,CY41DRAFT_0148,,,protein of unknown function DUF2248,
hotlake_ucc_69493,CY41DRAFT_0149,,,hypothetical protein,
hotlake_ucc_69494,CY41DRAFT_0150,Unknown function,Enzymes of unknown specificity,predicted dhydrogenase or related protein,
hotlake_ucc_69495,CY41DRAFT_0151,Unknown function,Enzymes of unknown specificity,ADP-ribose diphosphatase NudE,nudE
hotlake_ucc_69496,CY41DRAFT_0152,Unknown function,Enzymes of unknown specificity,putative hydrolase of the HAD superfamily,
hotlake_ucc_69497,CY41DRAFT_0153,,,ribosome-associated heat shock protein HslR,hslR
hotlake_ucc_69498,CY41DRAFT_0154,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,molecular chaperone Hsp33,hslO
hotlake_ucc_69499,CY41DRAFT_0155,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,phosphoenolpyruvate carboxykinase (ATP) PckA,pckA
hotlake_ucc_69500,CY41DRAFT_0156,Regulatory functions,DNA interactions,LysR family transcriptional regulator,
hotlake_ucc_69501,CY41DRAFT_0157,,,uncharacterized conserved small protein,
hotlake_ucc_69502,CY41DRAFT_0158,Unknown function,General,transcriptional accessory protein,
hotlake_ucc_69503,CY41DRAFT_0159,Metabolism of other amino acids and amines,Glutathione and analogs metabolism,glutamate--cysteine ligase GshA,gshA
hotlake_ucc_69504,CY41DRAFT_0160,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,disulfide bond formation protein DsbB,dsbB
hotlake_ucc_69505,CY41DRAFT_0161,,,regulator of sigma D,rsd
hotlake_ucc_69506,CY41DRAFT_0162,,,"RND-type Na""-dependent antimicrobial efflux pump permease component VexF",vexF
hotlake_ucc_69507,CY41DRAFT_0163,Intracellular trafficking_ assembly_ and processing::Transport and binding proteins,Unknown substrate::Protein export_ secretion_ and sorting,RND-type Na-dependent antimicrobial efflux pump MFP component VexE,vexE
hotlake_ucc_69508,CY41DRAFT_0164,Carbohydrate metabolism,Citrate cycle (TCA cycle),malate dehydrogenase Mdh,mdh
hotlake_ucc_69509,CY41DRAFT_0165,Unknown function,Enzymes of unknown specificity,family IB HAD hydrolase,
hotlake_ucc_69510,CY41DRAFT_0166,Unknown function,Enzymes of unknown specificity,putative (di)nucleoside polyphosphate hydrolase RppH,rppH
hotlake_ucc_69511,CY41DRAFT_0167,Signal transduction,Phosphotransferase system (PTS),phosphotransferase system enzyme I PtsP,ptsP
hotlake_ucc_69512,CY41DRAFT_0168,,,COG3332 family protein of unknown function,
hotlake_ucc_69513,CY41DRAFT_0169,Signal transduction,Taxis,CheY-like receiver domain-containing protein,
hotlake_ucc_69514,CY41DRAFT_0170,,,TSUP family transporter,
hotlake_ucc_69515,CY41DRAFT_0171,Intracellular trafficking_ assembly_ and processing,Protein modification and repair,phosphatidylglycerol:prolipoprotein diacylglycerol transferase Lgt,lgt
hotlake_ucc_69516,CY41DRAFT_0172,Nucleic acid metabolism,Pyrimidine metabolism,thymidylate synthase ThyA,thyA
hotlake_ucc_69517,CY41DRAFT_0173,Prosthetic groups_ cofactors_ and carriers,Folate biosynthesis,dihydrofolate reductase FolA,folA
hotlake_ucc_69518,CY41DRAFT_0174,,,activator of osmoprotectant transporter ProP,proQ
hotlake_ucc_69519,CY41DRAFT_0175,,,outer membrane protein (porin),
hotlake_ucc_69521,CY41DRAFT_0176,Regulatory functions,General::Small molecule interactions,PAS domain S-box/diguanylate cyclase (GGDEF) domain-containing protein,
hotlake_ucc_69522,CY41DRAFT_0177,Regulatory functions,Small molecule interactions,PAS domain S-box/diguanylate cyclase (GGDEF) domain-containing protein,
hotlake_ucc_69523,CY41DRAFT_0178,Transport and binding proteins,Unknown substrate,TRAP-T family transporter,
hotlake_ucc_69525,CY41DRAFT_0181,Regulatory functions,Small molecule interactions,diguanylate cyclase (GGDEF) domain-containing protein,
hotlake_ucc_69526,CY41DRAFT_0182,Unknown function,Enzymes of unknown specificity,oxidoreductase molybdopterin-binding domain protein,
hotlake_ucc_69528,CY41DRAFT_0183,,,predicted acetamidase/formamidase,
hotlake_ucc_69529,CY41DRAFT_0184,Regulatory functions,Small molecule interactions,diguanylate cyclase (GGDEF) domain-containing protein,
hotlake_ucc_69530,CY41DRAFT_0185,,,circadian clock protein KaiC,kaiC
hotlake_ucc_69531,CY41DRAFT_0186,Regulatory functions,DNA interactions,AraC family transcriptional regulator,
hotlake_ucc_69532,CY41DRAFT_0187,,,hypothetical protein,
hotlake_ucc_69533,CY41DRAFT_0188,Transport and binding proteins,Porins and secretins::Unknown substrate,outer membrane secretin,tolC
hotlake_ucc_69535,CY41DRAFT_0189,,,hypothetical protein,
hotlake_ucc_69536,CY41DRAFT_0190,,,type I secretion system permease component,
hotlake_ucc_69537,CY41DRAFT_0191,,,RTX family pore-forming toxin,
hotlake_ucc_69538,CY41DRAFT_0192,Intracellular trafficking_ assembly_ and processing::Transport and binding proteins,Unknown substrate::Protein export_ secretion_ and sorting,type I secretion system membrane fusion component,
hotlake_ucc_69539,CY41DRAFT_0193,Intracellular trafficking_ assembly_ and processing,Peptidases::Protein export_ secretion_ and sorting,putative peptide zinc metalloprotease YydH,yydH
hotlake_ucc_69540,CY41DRAFT_0194,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,SecA C-termiinal domain protein,secA
hotlake_ucc_69541,CY41DRAFT_0195,Intracellular trafficking_ assembly_ and processing::Transport and binding proteins,Unknown substrate::Protein export_ secretion_ and sorting,type I secretion system membrane fusion component,
hotlake_ucc_69543,CY41DRAFT_0196,Regulatory functions::Signal transduction,General::Taxis,chemotaxis signal relay system methyl-accepting signal transducer,mcp
