GeneID,Acc_num,Main_Role,Subrole,Product,Gene
hotlake_ucc_80949,CD01DRAFT_0052,Metabolism of other amino acids and amines::Unknown function,Enzymes of unknown specificity::Glutathione and analogs metabolism,putative 4-mercaptohistidine N1-methyltranferase,
hotlake_ucc_80950,CD01DRAFT_0053,Amino acid metabolism,Histidine metabolism,hercynyl-gamma-glutamylcysteine sulfoxide synthase EgtB,egtB
hotlake_ucc_80951,CD01DRAFT_0054,,,hypothetical protein,
hotlake_ucc_80952,CD01DRAFT_0055,Defense and invasion systems,Detoxification and inactivation,beta-lactamase class A PenP,penP
hotlake_ucc_80953,CD01DRAFT_0056,,,protein of unknown function DUF1624,
hotlake_ucc_80954,CD01DRAFT_0057,Transport and binding proteins,Unknown substrate,RND-type efflux system permease component AcrB,acrB
hotlake_ucc_80955,CD01DRAFT_0058,Intracellular trafficking_ assembly_ and processing::Transport and binding proteins,Unknown substrate::Protein export_ secretion_ and sorting,RND-type efflux system membrane fusion component AcrA,acrA
hotlake_ucc_80956,CD01DRAFT_0059,Regulatory functions,DNA interactions,transcriptional repressor of AcrAB operon AcrR,acrR
hotlake_ucc_80957,CD01DRAFT_0060,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,DASS family divalent anion:Na+ Symporter,
hotlake_ucc_80958,CD01DRAFT_0061,Unknown function,Enzymes of unknown specificity,acyl-CoA hydrolase,
hotlake_ucc_80959,CD01DRAFT_0062,Regulatory functions,DNA interactions::Protein interactions,putative response regulator,
hotlake_ucc_80960,CD01DRAFT_0063,,,Putative MetA-pathway of phenol degradation,
hotlake_ucc_80962,CD01DRAFT_0064,,,hypothetical protein,
hotlake_ucc_80963,CD01DRAFT_0065,Natural products biosynthesis,General,putative double-glycine peptidase,
hotlake_ucc_80965,CD01DRAFT_0066,,,hypothetical protein,
hotlake_ucc_80967,CD01DRAFT_0067,,,hypothetical protein,
hotlake_ucc_80969,CD01DRAFT_0068,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,isocitrate lyase AceA,aceA
hotlake_ucc_80970,CD01DRAFT_0069,,,protein of unknown function DUF1538,
hotlake_ucc_80971,CD01DRAFT_0070,,,protein of unknown function DUF1538,
hotlake_ucc_80972,CD01DRAFT_0071,,,hypothetical protein,
hotlake_ucc_80973,CD01DRAFT_0072,Unknown function,General,putative signal transduction protein,
hotlake_ucc_80974,CD01DRAFT_0073,,,K+ transport system NAD-binding component,
hotlake_ucc_80975,CD01DRAFT_0074,,,hypothetical protein,
hotlake_ucc_80976,CD01DRAFT_0075,Transport and binding proteins,Anions,SulP family sulfate permease,
hotlake_ucc_80977,CD01DRAFT_0076,,,putative iron-regulated protein,
hotlake_ucc_80979,CD01DRAFT_0077,,,DMT superfamily transporter,
hotlake_ucc_80981,CD01DRAFT_0078,,,putative phosphatase homologous to the C-terminal domain of histone macroH2A1,
hotlake_ucc_80982,CD01DRAFT_0079,Regulatory functions,DNA interactions,fructose-responsive transcriptional repressor FruR,fruR
hotlake_ucc_80983,CD01DRAFT_0080,Signal transduction::Transport and binding proteins,Phosphotransferase system (PTS),PTS system D-fructose-specific hybrid IIA /phosphocarrier / phosphotransferase / phosphocarrier component FruI,fruI
hotlake_ucc_80984,CD01DRAFT_0081,Energy metabolism::Carbohydrate metabolism::Unknown function,Enzymes of unknown specificity::Fructose and mannose metabolism::General,1-phosphofructokinase FruK,fruK
hotlake_ucc_80985,CD01DRAFT_0082,Signal transduction::Transport and binding proteins,Phosphotransferase system (PTS),PTS system D-fructose-specific IIBC component FruA,fruA
hotlake_ucc_80986,CD01DRAFT_0083,,,hypothetical protein,
hotlake_ucc_80987,CD01DRAFT_0084,,,beta-N-acetylglucosaminidase,
hotlake_ucc_80988,CD01DRAFT_0085,,,hypothetical protein,
hotlake_ucc_80989,CD01DRAFT_0086,Unknown function,Enzymes of unknown specificity,DNA repair photolyase,
hotlake_ucc_80990,CD01DRAFT_0087,,,TRAP-type transport system substrate-binding component,
hotlake_ucc_80992,CD01DRAFT_0088,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,TRAP-type transport system small permease component,
hotlake_ucc_80993,CD01DRAFT_0089,Transport and binding proteins,Unknown substrate::Carbohydrates_ organic alcohols_ and acids,TRAP-type transport system large permease component,
hotlake_ucc_80994,CD01DRAFT_0090,Fatty acid and lipid metabolism::Unknown function,Enzymes of unknown specificity::Biosynthesis,cyclopropane-fatty-acyl-phospholipid synthase,cfa
hotlake_ucc_80995,CD01DRAFT_0091,Prosthetic groups_ cofactors_ and carriers::Unknown function,General::Porphyrin and chlorophyll metabolism,Dehydrogenases (flavoproteins),
hotlake_ucc_80996,CD01DRAFT_0092,,,Chitobiase/beta-hexosaminidase C-terminal domain,
hotlake_ucc_80998,CD01DRAFT_0093,,,phosphate-selective porin,oprO_P
hotlake_ucc_81000,CD01DRAFT_0094,Unknown function,General,CAAX Protease2 family integral membrane protein,
hotlake_ucc_81001,CD01DRAFT_0095,Transport and binding proteins,Unknown substrate,ABC-type iron(III) uptake system ATPase component FbpC,fbpC
hotlake_ucc_81002,CD01DRAFT_0096,,,ABC-type iron(III) uptake system substrate-binding component FbpA,fbpA
hotlake_ucc_81004,CD01DRAFT_0097,,,ABC-type iron(III) uptake system permease component FbpB,fbpB
hotlake_ucc_81005,CD01DRAFT_0098,,,iron-binding ferritin-like antioxidant protein Dps,dps
hotlake_ucc_81006,CD01DRAFT_0099,,,putative membrane protein,
hotlake_ucc_81007,CD01DRAFT_0100,Translation::Unknown function,tRNA and rRNA base modification::General,dihydrolipoamide dehydrogenase,lpd
hotlake_ucc_81008,CD01DRAFT_0101,Transport and binding proteins,Amino acids_ peptides and amines,Putative threonine efflux protein,
hotlake_ucc_81009,CD01DRAFT_0102,Amino acid metabolism,Phenylalanine_ tyrosine and tryptophan biosynthesis,3-deoxy-7-phosphoheptulonate synthase,aroF
hotlake_ucc_81010,CD01DRAFT_0103,Defense and invasion systems,Secretion systems,T2aSS general secretion pathway secretin GspD,gspD
hotlake_ucc_81012,CD01DRAFT_0104,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,DnaJ-class molecular chaperone with C-terminal Zn finger domain,
hotlake_ucc_81013,CD01DRAFT_0105,Intracellular trafficking_ assembly_ and processing::Transport and binding proteins,Unknown substrate::Protein export_ secretion_ and sorting,RND-type efflux system MFP component,acrA
hotlake_ucc_81014,CD01DRAFT_0106,Transport and binding proteins,Unknown substrate,RND family efflux system permease component,acrB
hotlake_ucc_81015,CD01DRAFT_0107,,,AraC family transcriptional regulator,
hotlake_ucc_81016,CD01DRAFT_0108,Regulatory functions,Small molecule interactions,PAS domain S-box/diguanylate cyclase (GGDEF) domain,
hotlake_ucc_81017,CD01DRAFT_0109,,,hypothetical protein,
hotlake_ucc_81018,CD01DRAFT_0110,,,protein of unknown function DUF3301,
hotlake_ucc_81019,CD01DRAFT_0111,Unknown function,Enzymes of unknown specificity,triacylglycerol lipase LipA,lipA
hotlake_ucc_81021,CD01DRAFT_0112,,,lipase chaperone,
hotlake_ucc_81022,CD01DRAFT_0113,Signal transduction::Unknown function,Enzymes of unknown specificity::Two-component systems::Taxis,two component signal transduction system histidine kinase,
hotlake_ucc_81023,CD01DRAFT_0114,Regulatory functions::Signal transduction,Taxis::DNA interactions,two component signal transduction ssytem LuxR family response regulator,
hotlake_ucc_81024,CD01DRAFT_0115,,,ABC-type uptake system PAAT family substrate-binding component,
hotlake_ucc_81026,CD01DRAFT_0116,,,aspartate aminotransferase,aspB
hotlake_ucc_81027,CD01DRAFT_0117,,,myo-inositol-1(or 4)-monophosphatase SuhB,suhB
hotlake_ucc_81028,CD01DRAFT_0118,Regulatory functions,DNA interactions,TetR family transcriptional regulator,slmA
hotlake_ucc_81029,CD01DRAFT_0119,Prosthetic groups_ cofactors_ and carriers,Thiamine metabolism,thiazole synthase ThiG,thiG
hotlake_ucc_81030,CD01DRAFT_0120,Prosthetic groups_ cofactors_ and carriers,Sulfur relay system,sulfur carrier protein ThiS,thiS
hotlake_ucc_81031,CD01DRAFT_0121,,,protein of unknown function DUF423,
hotlake_ucc_81032,CD01DRAFT_0122,Nucleic acid metabolism::Unknown function,Enzymes of unknown specificity::Purine metabolism,bis(5'-nucleosyl)-tetraphosphatase ApaH,apaH
hotlake_ucc_81033,CD01DRAFT_0123,Translation,tRNA and rRNA base modification,16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase KsgA,ksgA
hotlake_ucc_81034,CD01DRAFT_0124,Prosthetic groups_ cofactors_ and carriers,Vitamin B6 metabolism,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,pdxA
hotlake_ucc_81035,CD01DRAFT_0125,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,periplasmic chaperone for beta-barrel proteins SurA,surA
hotlake_ucc_81037,CD01DRAFT_0126,Transport and binding proteins,Porins and secretins,lipopolysaccharide secretin LptD,lpdD
hotlake_ucc_81038,CD01DRAFT_0127,Unknown function,Enzymes of unknown specificity,anomeric MurNAc/GlcNAc kinase AmgK,amgK
hotlake_ucc_81039,CD01DRAFT_0128,Metabolism of other amino acids and amines,Phosphonate and phosphinate metabolism,MurNAc α-1-phosphate uridylyl transferase MurU,murU
hotlake_ucc_81040,CD01DRAFT_0129,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,DnaJ like chaperone protein,djlA
hotlake_ucc_81041,CD01DRAFT_0130,,,uncharacterized protein,
hotlake_ucc_81042,CD01DRAFT_0131,,,protein of unknown function DUF3530,
hotlake_ucc_81043,CD01DRAFT_0132,Carbohydrate metabolism,Pentose phosphate pathway,ribulose-phosphate 3-epimerase Rpe,rpe
hotlake_ucc_81044,CD01DRAFT_0133,Carbohydrate metabolism::Unknown function,Glyoxylate and dicarboxylate metabolism::Enzymes of unknown specificity,phosphoglycolate phosphatase Gph,gph
hotlake_ucc_81045,CD01DRAFT_0134,Amino acid metabolism,Phenylalanine_ tyrosine and tryptophan biosynthesis,anthranilate synthase aminase component TrpE,trpE
hotlake_ucc_81046,CD01DRAFT_0135,Amino acid metabolism,Phenylalanine_ tyrosine and tryptophan biosynthesis,anthranilate synthase amidotransferase component TrpG,trpG
hotlake_ucc_81047,CD01DRAFT_0136,Amino acid metabolism,Phenylalanine_ tyrosine and tryptophan biosynthesis,anthranilate phosphoribosyltransferase TrpD,trpD
hotlake_ucc_81048,CD01DRAFT_0137,Amino acid metabolism,Phenylalanine_ tyrosine and tryptophan biosynthesis,indole-3-glycerol phosphate synthase TrpC,trpC
hotlake_ucc_81049,CD01DRAFT_0138,,,protein of unknown function containing DUF4202 domain,
hotlake_ucc_81050,CD01DRAFT_0139,Regulatory functions,Small molecule interactions,diguanylate cyclase (GGDEF) domain,
hotlake_ucc_81051,CD01DRAFT_0140,,,glutathione S-transferase,
hotlake_ucc_81052,CD01DRAFT_0141,,,putative hydrolases or acyltransferases (alpha/beta hydrolase superfamily),
hotlake_ucc_81053,CD01DRAFT_0142,Intracellular trafficking_ assembly_ and processing,Peptidases,putative deacylase,
hotlake_ucc_81054,CD01DRAFT_0143,,,ABC-type uptake system PAAT family substrate-binding component,
hotlake_ucc_81056,CD01DRAFT_0144,,,Heat shock protein,
hotlake_ucc_81058,CD01DRAFT_0145,,,glutathione S-transferase,gst
hotlake_ucc_81059,CD01DRAFT_0146,Regulatory functions,DNA interactions,AraC family transcriptional regulator,
hotlake_ucc_81060,CD01DRAFT_0147,,,sterol desaturase,
hotlake_ucc_81061,CD01DRAFT_0148,Unknown function,Enzymes of unknown specificity,lysophospholipase,
hotlake_ucc_81062,CD01DRAFT_0149,Transport and binding proteins,Cofactors and prosthetic groups,ABC-type molybdenum uptake system substrate-binding component ModA,modA
hotlake_ucc_81064,CD01DRAFT_0150,Transport and binding proteins,Cofactors and prosthetic groups,ABC-type molybdenum uptake system permease component ModB,modB
hotlake_ucc_81065,CD01DRAFT_0151,Transport and binding proteins,Cofactors and prosthetic groups::Unknown substrate::Anions,ABC-type molybdenum uptake system ATPase component ModC,modC
hotlake_ucc_81066,CD01DRAFT_0152,Regulatory functions::Unknown function,General::DNA interactions,Crp/Fnr family transcriptional regulator,crp
hotlake_ucc_81067,CD01DRAFT_0153,Unknown function,General,putative redox protein YhfA,yhfA
hotlake_ucc_81068,CD01DRAFT_0154,Amino acid metabolism,Arginine and proline metabolism,S-adenosylmethionine decarboxylase SpeD,speD
hotlake_ucc_81069,CD01DRAFT_0155,,,Pirin-related protein,
hotlake_ucc_81070,CD01DRAFT_0156,,,phosphoribulokinase PrkB,prkB
hotlake_ucc_81071,CD01DRAFT_0157,Regulatory functions,Small molecule interactions,diguanylate cyclase/phosphodiesterase,
hotlake_ucc_81072,CD01DRAFT_0158,,,putative aminopeptidase,
hotlake_ucc_81073,CD01DRAFT_0159,Amino acid metabolism::Unknown function,Enzymes of unknown specificity::Arginine biosynthesis,amino acid N-acetyltransferase ArgAB,argAB
hotlake_ucc_81074,CD01DRAFT_0160,Amino acid metabolism::Intracellular trafficking_ assembly_ and processing,Peptidases::Arginine biosynthesis,acetylornithine deacetylase ArgE,argE
hotlake_ucc_81075,CD01DRAFT_0161,,,hypothetical protein,
hotlake_ucc_81076,CD01DRAFT_0162,Amino acid metabolism,Arginine biosynthesis,acetylglutamate kinase ArgB,argB
hotlake_ucc_81077,CD01DRAFT_0163,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,bifunctional phosphomannomutase / phosphoglucomutase Pmm-Pgm,pmm-pgm
hotlake_ucc_81078,CD01DRAFT_0164,Nucleic acid metabolism,Pyrimidine metabolism,dUTP pyrophosphatase Dut,dut
hotlake_ucc_81079,CD01DRAFT_0165,Prosthetic groups_ cofactors_ and carriers,Pantothenate and CoA biosynthesis,bifunctional phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase CoaB-CoaC,coaB-coaC
hotlake_ucc_81080,CD01DRAFT_0166,Nucleic acid metabolism,DNA replication_ recombination_ and repair,DNA repair protein RadC,radC
hotlake_ucc_81081,CD01DRAFT_0167,Translation,Ribosomal proteins: synthesis and modification,LSU ribosomal protein L28 RpmB,rpmB
hotlake_ucc_81082,CD01DRAFT_0168,Translation,Ribosomal proteins: synthesis and modification,LSU ribosomal protein L33 RpmG,rpmG
hotlake_ucc_81083,CD01DRAFT_0169,Unknown function,Enzymes of unknown specificity,Metal-dependent hydrolase,
hotlake_ucc_81084,CD01DRAFT_0170,Unknown function,General,periplasmic thiol:disulfide interchange protein DsbA,dsbA
hotlake_ucc_81086,CD01DRAFT_0171,Energy metabolism,Oxidative phosphorylation,diheme cytochrome c,
hotlake_ucc_81088,CD01DRAFT_0172,Translation::Transport and binding proteins::Unknown function,Ribosomal proteins: synthesis and modification::General::Cations and iron carrying compounds,ribosome biogenesis GTP-binding protein EngB,engB
hotlake_ucc_81089,CD01DRAFT_0173,Regulatory functions,DNA interactions,TetR family transcriptional regulator,
hotlake_ucc_81090,CD01DRAFT_0174,,,coniferyl-aldehyde dehydrogenase,
hotlake_ucc_81091,CD01DRAFT_0175,,,hypothetical protein,
hotlake_ucc_81092,CD01DRAFT_0176,,,oxidoreductase,
hotlake_ucc_81093,CD01DRAFT_0177,Prosthetic groups_ cofactors_ and carriers::Metabolism of other amino acids and amines,Pantothenate and CoA biosynthesis::Phosphonate and phosphinate metabolism,pantetheine-phosphate adenylyltransferase CoaD,coaD
hotlake_ucc_81094,CD01DRAFT_0178,,,putative protein conserved in bacteria,
hotlake_ucc_81095,CD01DRAFT_0179,Energy metabolism,General,polyphosphate kinase Ppk,ppk
hotlake_ucc_81096,CD01DRAFT_0180,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,porphobilinogen synthase HemB,hemB
hotlake_ucc_81097,CD01DRAFT_0181,,,lipase chaperone LipB,lipB
hotlake_ucc_81099,CD01DRAFT_0182,,,hypothetical protein,
hotlake_ucc_81100,CD01DRAFT_0183,Regulatory functions,DNA interactions,TetR family transcriptional regulator,
hotlake_ucc_81101,CD01DRAFT_0184,Fatty acid and lipid metabolism,Fatty acid degradation,acyl-CoA dehydrogenase AidB,aidB
hotlake_ucc_81102,CD01DRAFT_0185,,,hypothetical protein,
hotlake_ucc_81103,CD01DRAFT_0186,Defense and invasion systems::Prosthetic groups_ cofactors_ and carriers,Pantothenate and CoA biosynthesis::Invasion response,glutamate decarboxylase GadA,gadA
hotlake_ucc_81104,CD01DRAFT_0187,,,hypothetical protein,
hotlake_ucc_81105,CD01DRAFT_0188,Transport and binding proteins,Anions,PiT family inorganic phosphate transporter,
hotlake_ucc_81106,CD01DRAFT_0189,Regulatory functions,Small molecule interactions,diguanylate cyclase,
hotlake_ucc_81107,CD01DRAFT_0190,Energy metabolism,Electron transport,flavodoxin,
hotlake_ucc_81108,CD01DRAFT_0191,Regulatory functions,Small molecule interactions,diguanylate cyclase/phosphodiesterase with PAS sensory domain,
hotlake_ucc_81109,CD01DRAFT_0192,Fatty acid and lipid metabolism,Biosynthesis of unsaturated fatty acids,acyl-CoA thioesterase II TesB,tesB
hotlake_ucc_81110,CD01DRAFT_0193,Metabolism of other amino acids and amines::Unknown function,aliphatic and aromatic amines::General,rubredoxin-NAD+ reductase RubB,rubB
hotlake_ucc_81111,CD01DRAFT_0194,Energy metabolism,Electron transport,rubredoxin,
hotlake_ucc_81112,CD01DRAFT_0195,Nucleic acid metabolism,Purine metabolism,hypoxanthine phosphoribosyltransferase HprT,hprT
hotlake_ucc_81113,CD01DRAFT_0196,Prosthetic groups_ cofactors_ and carriers,Ubiquinone and other terpenoid-quinone biosynthesis,chorismate--pyruvate lyase UbiC,ubiC
hotlake_ucc_81114,CD01DRAFT_0197,Prosthetic groups_ cofactors_ and carriers,Ubiquinone and other terpenoid-quinone biosynthesis,4-hydroxybenzoate polyprenyltransferase UbiA,ubiA
hotlake_ucc_81115,CD01DRAFT_0198,Regulatory functions::Signal transduction,Two-component systems::Taxis::DNA interactions,two component signal transduction system phosphate regulon response regulator PhoB,phoB
hotlake_ucc_81116,CD01DRAFT_0199,Signal transduction::Unknown function,Enzymes of unknown specificity::Two-component systems,two component signal transduction system phosphate regulon histidine kinase PhoR,phoR
hotlake_ucc_81117,CD01DRAFT_0200,Signal transduction,Taxis,Response regulator containing CheY-like receiver domain and AraC-type DNA-binding domain,
hotlake_ucc_81118,CD01DRAFT_0201,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,membrane-bound lytic murein transglycosylase B,mltB
hotlake_ucc_81119,CD01DRAFT_0202,Unknown function,Enzymes of unknown specificity,inner membrane protein,
hotlake_ucc_81120,CD01DRAFT_0203,Translation,tRNA and rRNA base modification,16S rRNA pseudouridine516 synthase RsuA,rsuA
hotlake_ucc_81121,CD01DRAFT_0204,,,L-asparaginase AnsA,ansA
hotlake_ucc_81122,CD01DRAFT_0205,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,D-alanyl-D-alanine endopeptidase (penicillin-binding protein 7) PbpG,pbpG
hotlake_ucc_81124,CD01DRAFT_0206,Amino acid metabolism,Valine_ leucine and isoleucine metabolism,dihydroxy-acid dehydratase,ilvD
hotlake_ucc_81125,CD01DRAFT_0207,Energy metabolism,Electron transport,glutaredoxin,
hotlake_ucc_81126,CD01DRAFT_0208,Carbohydrate metabolism,Pentose phosphate pathway,bifunctional fructose-6-phosphate phosphoketolase / xylulose-5-phosphate phosphoketolase,
hotlake_ucc_81127,CD01DRAFT_0209,Transport and binding proteins::Unknown function,Unknown substrate::Enzymes of unknown specificity,P-type cation translocating ATPase,
hotlake_ucc_81128,CD01DRAFT_0210,,,protein of unknown function DUF1282,
hotlake_ucc_81129,CD01DRAFT_0211,Unknown function,Enzymes of unknown specificity,fructokinase ScrK,scrK
hotlake_ucc_81130,CD01DRAFT_0212,,,sucrose-responsive transcriptional regulator ScrR,scrR
hotlake_ucc_81131,CD01DRAFT_0213,Transport and binding proteins,Unknown substrate,ABC-type sucrose uptake system ATPase component ScrP,scrP
hotlake_ucc_81132,CD01DRAFT_0214,Carbohydrate metabolism,Starch and sucrose metabolism,alpha-glucosidase AlgA,malZ
hotlake_ucc_81133,CD01DRAFT_0215,,,ABC-type sucrose uptake system permease component ScrO2,scrO2
hotlake_ucc_81134,CD01DRAFT_0216,,,ABC-type sucrose uptake system permease component ScrO1,scrO1
hotlake_ucc_81135,CD01DRAFT_0217,,,ABC-type sucrose uptake system substrate-binding component ScrN,scrN
hotlake_ucc_81137,CD01DRAFT_0218,,,sucrose porin ScrY,scrY
hotlake_ucc_81138,CD01DRAFT_0219,,,glutathione S-transferase,gst
hotlake_ucc_81139,CD01DRAFT_0220,Amino acid metabolism::Unknown function,Alanine_ aspartate and glutamate metabolism::General,alanine dehydrogenase Ald,ald
hotlake_ucc_81140,CD01DRAFT_0221,Defense and invasion systems::Unknown function,Enzymes of unknown specificity::Detoxification and inactivation,dienelactone hydrolase,
